-.821,.9,.675,-.4106,.95,.4835,-.1642,.98,.308
-.99,.88,.70,-.55,.93,.51,-.11,.99,.33
(.48),(.06),(.16),(.32),(.04),(.12),(.09),(.01),(.07)
-.736,.9,.363,-.368,.95,.26,-.1472,.98,.1657
-1.4,.81,.45,-1.0,.86,.35,-.20,.97,.22
(1.6),(.22),(.27),(1.7),(.23),(.25),(.54),(.08),(.15)
-.706,.9,.135,-.353,.95,.0964,-.1412,.98,.0614
-5.5,.23,.33,-5.5,.22,.31,-3.5,.49,.35
(5.6),(.79),(.39),(6.0),(.85),(.41),(4.6),(.67),(.46)
