length,true_params_1,true_params_2,true_params_3,mean_estimates_1,mean_estimates_2,mean_estimates_3,rmse_1,rmse_2,rmse_3
4000,-0.4106,0.95,0.4835,-0.418936329229231,0.948918547957282,0.483798558361536,0.0691420613952113,0.00828907427688253,0.0369843625583498
4000,-0.1642,0.98,0.308,-0.172534660521437,0.978938422540458,0.30868512758937,0.0376070693728382,0.00452126411214161,0.025023033149579
4000,-0.736,0.9,0.363,-0.759026103699377,0.896856814362506,0.365647840184822,0.18392375478816,0.0247410654022275,0.0582668496059413
4000,-0.1472,0.98,0.166,-0.157893169010057,0.978522219904172,0.167606886769537,0.0435104484567658,0.00588405369068689,0.0220899866325836
4000,-0.706,0.9,0.135,-0.898385164318219,0.872858278083599,0.152003755862794,0.603486817674798,0.0852024068861935,0.0908394934144023
4000,-0.353,0.95,0.0964,-0.541225374704995,0.923406932965052,0.119450832431954,0.503281628999554,0.0710355117542199,0.0792166460783533
