length,true_params_1,true_params_2,true_params_3,mean_estimates_1,mean_estimates_2,mean_estimates_3,rmse_1,rmse_2,rmse_3
250,-0.821,0.9,0.675,-1.06483646480926,0.868721293953206,0.644994734128116,0.590129840503004,0.0726074331961877,0.20563587080789
250,-0.368,0.95,0.26,-0.709606587111368,0.90336871620659,0.288446055096446,0.585815308590698,0.0797844198828108,0.117558141313591
250,-0.1412,0.98,0.0614,-1.06682024771815,0.848869390802279,0.132021487133507,0.990578723318246,0.140254887590865,0.103741542313123
500,-0.821,0.9,0.675,-0.967910106328306,0.881631644559518,0.651823460156864,0.457437429073398,0.0551420155764253,0.172420964881286
500,-0.368,0.95,0.26,-0.575223611524054,0.922044939762891,0.283990794881534,0.394983460851562,0.0532146443185419,0.0907282249138762
500,-0.1412,0.98,0.0614,-1.01954528967308,0.855872294062944,0.145126160956899,0.931661004153073,0.131599900524701,0.101894640385402
1000,-0.821,0.9,0.675,-0.868562670993031,0.893621321028603,0.648093268668161,0.286858481891495,0.034596885780107,0.136200689973205
1000,-0.368,0.95,0.26,-0.482667191546957,0.93438527804696,0.279201059843637,0.235460517320907,0.0318794793961504,0.0616238648753357
1000,-0.1412,0.98,0.0614,-0.935613041356835,0.867518112141565,0.152035074617382,0.83751296507372,0.118534947412335,0.0995333027273947
2000,-0.821,0.9,0.675,-0.840422031267257,0.897246186410407,0.657224512623328,0.223137566827966,0.0268625699005415,0.107810394863237
2000,-0.368,0.95,0.26,-0.454335688391914,0.938284674084787,0.282799961232165,0.167112787147055,0.0224912659566121,0.049005401380721
2000,-0.1412,0.98,0.0614,-0.891098661529986,0.873865543852062,0.161522189846606,0.782912186394833,0.110760302108205,0.104530952867272
4000,-0.821,0.9,0.675,-0.836078203064839,0.897833250900812,0.663426147145883,0.174032604041904,0.0210742213694286,0.0841587267176603
4000,-0.368,0.95,0.26,-0.446475835081158,0.93932143794189,0.283621227140533,0.12472925157878,0.0168834761110706,0.0380329627211245
4000,-0.1412,0.98,0.0614,-0.874435561099909,0.876196110947726,0.162471229689221,0.75111066980608,0.106305701321529,0.103015192820039
