length,true_params_1,true_params_2,true_params_3,mean_estimates_1,mean_estimates_2,mean_estimates_3,rmse_1,rmse_2,rmse_3
500,-0.821,0.9,0.675,-0.966753651658004,0.882271779829956,0.693117734252923,0.467182759580317,0.0561074174071383,0.163456839329386
500,-0.4106,0.95,0.4835,-0.538108197047315,0.934396470845401,0.50270512706813,0.355054641707007,0.0432565246595185,0.130350194457509
500,-0.1642,0.98,0.308,-0.292747684524784,0.964219054466486,0.331837304581667,0.351104660508724,0.0441837743016672,0.104295230310546
500,-0.736,0.9,0.363,-1.21421330508233,0.835633481858568,0.426717495031794,1.42799222785476,0.19215617150987,0.249360797588851
500,-0.368,0.95,0.26,-0.791585213310414,0.892914979558705,0.324568335771399,1.35394674595623,0.182077072217097,0.220712474183795
500,-0.1472,0.98,0.166,-0.552248639623587,0.925406446837096,0.232322623681721,1.34260863422262,0.181159615149931,0.204128922721816
500,-0.706,0.9,0.135,-4.68436695264087,0.336244682165642,0.303712456635683,5.47374713817754,0.77636613395693,0.359991288039359
500,-0.353,0.95,0.0964,-4.20243104450391,0.40422702887016,0.282780616799559,5.4191928502655,0.769521326411516,0.36309197218435
500,-0.141,0.98,0.0614,-4.040908307821,0.425623446365195,0.264118885976466,5.52121181610651,0.786319255618842,0.36986921020839
