ticker,date,log_return
AFKS,20150107,0.009748249413660481
AFKS,20150109,0.018422627553035476
AFKS,20150110,0.0007933360193961292
AFKS,20150113,-0.038808427020869285
AFKS,20150114,0.009844214034777199
AFKS,20150115,0.028170876966695957
AFKS,20150116,-0.004773278752657539
AFKS,20150117,-0.008810629682154847
AFKS,20150120,0.004014457418661799
AFKS,20150121,0.0016012813669741277
AFKS,20150122,0.010346292054144168
AFKS,20150123,0.07399485637960668
AFKS,20150124,0.00146950797935963
AFKS,20150127,-0.0543119893537396
AFKS,20150128,-0.014051753455650573
AFKS,20150129,-0.02547908530098475
AFKS,20150130,0.027050177533026076
AFKS,20150131,0.04527048404660006
AFKS,20150203,0.0526052615891377
AFKS,20150204,0.09174511363982862
AFKS,20150205,0.08403074885149175
AFKS,20150206,-0.03338701603273719
AFKS,20150207,0.018349138668196652
AFKS,20150210,0.06453852113757153
AFKS,20150211,0.01354422510775688
AFKS,20150212,0.0005603810737850878
AFKS,20150213,0.029259608701892592
AFKS,20150214,0.02524979696647911
AFKS,20150217,0.06171623985855801
AFKS,20150218,-0.048540818699993604
AFKS,20150219,-0.014768200895350692
AFKS,20150220,-0.035148251749153925
AFKS,20150221,0.006035683617924281
AFKS,20150225,-0.053945662891714985
AFKS,20150226,0.02226754866045333
AFKS,20150227,0.01790758542048332
AFKS,20150228,0.015956322030758585
AFKS,20150303,-0.01097705863115106
AFKS,20150304,-0.006644542718668767
AFKS,20150305,-0.02247285585205816
AFKS,20150306,-0.010854148264008767
AFKS,20150307,-0.029731131851070014
AFKS,20150311,-0.07365290957476534
AFKS,20150312,-0.04161848998251472
AFKS,20150313,0.016463987297844707
AFKS,20150314,-0.031854053519751346
AFKS,20150317,0.004037690546076611
AFKS,20150318,0.07189887554386365
AFKS,20150319,0.031983045853051006
AFKS,20150320,-0.01034387074956955
AFKS,20150321,0.015174798019235158
AFKS,20150324,-0.0006025911601446055
AFKS,20150325,0.017921626617355635
AFKS,20150326,0.04117717122439757
AFKS,20150327,-0.03233538064293695
AFKS,20150328,0.015142980102563985
AFKS,20150331,0.005763704716749807
AFKS,20150401,0.028330506626225826
AFKS,20150402,-0.008415196925284363
AFKS,20150403,0.005617992304223662
AFKS,20150404,-0.011267724846342642
AFKS,20150407,0.0028288562004776807
AFKS,20150408,-0.02691258903994509
AFKS,20150409,-0.036647126914634676
AFKS,20150410,-0.018839815812486727
AFKS,20150411,0.02544049984383845
AFKS,20150414,-0.0023952107259548328
AFKS,20150415,-0.018760005547556968
AFKS,20150416,0.04479697933055249
AFKS,20150417,0.007564772763772876
AFKS,20150418,-0.005813969865420265
AFKS,20150421,-0.04228078398391455
AFKS,20150422,-0.0006084575788571911
AFKS,20150423,-0.01101602327343043
AFKS,20150424,-0.02177379954956038
AFKS,20150425,0.010012599292429591
AFKS,20150428,-0.0006228589425907316
AFKS,20150429,0.004351887502457519
AFKS,20150430,-0.007472014838701302
AFKS,20150501,-0.0025031302181184323
AFKS,20150506,0.02107951579105416
AFKS,20150507,-0.0030721990369704244
AFKS,20150508,-0.008652711586863315
AFKS,20150509,0.012338219444039122
AFKS,20150513,-0.0067671743945840745
AFKS,20150514,0.004926118336056273
AFKS,20150515,0.01825978913275428
AFKS,20150516,0.011990551331911625
AFKS,20150519,0.013025643017155808
