length,true_params_1,true_params_2,true_params_3,mean_estimates_1,mean_estimates_2,mean_estimates_3,rmse_1,rmse_2,rmse_3
250,-0.4106,0.95,0.4835,-0.682533871430461,0.91660249399652,0.536352275087488,0.536212669222062,0.0649146620763358,0.206040163079796
250,-0.1642,0.98,0.308,-0.452769130914303,0.944547926236272,0.3666635969928,0.524413817642666,0.064036587752535,0.179313906302428
250,-0.736,0.9,0.363,-1.08156728965483,0.852987378607626,0.406287504278517,0.66860748220452,0.0899587356159981,0.219767073811611
250,-0.1472,0.98,0.166,-0.648289280038253,0.91214188195807,0.251819874704258,0.786495774195323,0.105725821212936,0.208317257242444
250,-0.706,0.9,0.135,-1.3178033362146,0.813293097174391,0.178718889947372,0.79619425344246,0.112305037671664,0.20365055953809
250,-0.353,0.95,0.0964,-1.25439525431492,0.82222891532932,0.172928819970156,1.05570099111187,0.149242093519129,0.208097168890204
500,-0.4106,0.95,0.4835,-0.533455364414171,0.934978203485391,0.501718463213415,0.325615445241185,0.0394266859936151,0.125935977863875
500,-0.1642,0.98,0.308,-0.283447328374071,0.9654292022576,0.330254377596187,0.262013069225966,0.0319527867894193,0.0948550147657043
500,-0.736,0.9,0.363,-0.936498065262659,0.873021781344013,0.389159798349618,0.547126767846982,0.0733796553060837,0.164030333366172
500,-0.1472,0.98,0.166,-0.37258218996862,0.949589109681505,0.211526147761888,0.479449784617192,0.0642366297842912,0.12740813476119
500,-0.706,0.9,0.135,-1.16335283796608,0.835493076341819,0.160389710382139,0.715443836064776,0.100600497738871,0.160747853630931
500,-0.353,0.95,0.0964,-1.02197884611936,0.855560671646716,0.154444499474607,0.897975786179693,0.126459147755312,0.164583944598979
