<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MOEX,D,20170110,000000,127.8
MOEX,D,20170111,000000,129.95
MOEX,D,20170112,000000,134.77
MOEX,D,20170113,000000,137.6
MOEX,D,20170114,000000,134.69
MOEX,D,20170117,000000,133
MOEX,D,20170118,000000,129.8
MOEX,D,20170119,000000,131.5
MOEX,D,20170120,000000,131.68
MOEX,D,20170121,000000,130.75
MOEX,D,20170124,000000,130.4
MOEX,D,20170125,000000,131.61
MOEX,D,20170126,000000,131.86
MOEX,D,20170127,000000,136.42
MOEX,D,20170128,000000,138.5
MOEX,D,20170131,000000,136
MOEX,D,20170201,000000,134.2
MOEX,D,20170202,000000,134.8
MOEX,D,20170203,000000,134.17
MOEX,D,20170204,000000,135.79
MOEX,D,20170207,000000,135.1
MOEX,D,20170208,000000,133.69
MOEX,D,20170209,000000,131.55
MOEX,D,20170210,000000,131.67
MOEX,D,20170211,000000,130.79
MOEX,D,20170214,000000,129.48
MOEX,D,20170215,000000,127.4
MOEX,D,20170216,000000,127.81
MOEX,D,20170217,000000,127
MOEX,D,20170218,000000,126.5
MOEX,D,20170221,000000,124.38
MOEX,D,20170222,000000,124.97
MOEX,D,20170223,000000,126.2
MOEX,D,20170225,000000,126.2
MOEX,D,20170228,000000,123
MOEX,D,20170301,000000,123.5
MOEX,D,20170302,000000,128.25
MOEX,D,20170303,000000,124.47
MOEX,D,20170304,000000,118.26
MOEX,D,20170307,000000,113.51
MOEX,D,20170308,000000,116.45
MOEX,D,20170310,000000,113.5
MOEX,D,20170311,000000,113
MOEX,D,20170314,000000,114.02
MOEX,D,20170315,000000,113.2
MOEX,D,20170316,000000,110.15
MOEX,D,20170317,000000,112.81
MOEX,D,20170318,000000,114.45
MOEX,D,20170321,000000,117.16
MOEX,D,20170322,000000,114.38
MOEX,D,20170323,000000,113.49
MOEX,D,20170324,000000,112.01
MOEX,D,20170325,000000,114.32
MOEX,D,20170328,000000,112.4
MOEX,D,20170329,000000,114.62
MOEX,D,20170330,000000,113.41
MOEX,D,20170331,000000,114.1
MOEX,D,20170401,000000,111.51
MOEX,D,20170404,000000,114.6
MOEX,D,20170405,000000,114.34
MOEX,D,20170406,000000,116.15
MOEX,D,20170407,000000,114.99
MOEX,D,20170408,000000,111.75
MOEX,D,20170411,000000,107.55
MOEX,D,20170412,000000,107.55
MOEX,D,20170413,000000,104.9
MOEX,D,20170414,000000,105.9
MOEX,D,20170415,000000,104.35
MOEX,D,20170418,000000,107.67
MOEX,D,20170419,000000,105.5
MOEX,D,20170420,000000,106.5
MOEX,D,20170421,000000,109.2
MOEX,D,20170422,000000,111.4
MOEX,D,20170425,000000,112.36
MOEX,D,20170426,000000,114.62
MOEX,D,20170427,000000,115
MOEX,D,20170428,000000,115.79
MOEX,D,20170429,000000,115.05
MOEX,D,20170503,000000,117.3
MOEX,D,20170504,000000,118.2
MOEX,D,20170505,000000,114.74
MOEX,D,20170506,000000,116.3
MOEX,D,20170511,000000,116.73
MOEX,D,20170512,000000,115.45
MOEX,D,20170513,000000,115.35
MOEX,D,20170516,000000,108.9
MOEX,D,20170517,000000,105.34
MOEX,D,20170518,000000,107.05
MOEX,D,20170519,000000,105.75
MOEX,D,20170520,000000,102.5
MOEX,D,20170523,000000,101.45
MOEX,D,20170524,000000,103.43
MOEX,D,20170525,000000,102.5
MOEX,D,20170526,000000,99.8
MOEX,D,20170527,000000,97.58
MOEX,D,20170530,000000,100.7
MOEX,D,20170531,000000,100.38
MOEX,D,20170601,000000,101
MOEX,D,20170602,000000,100.8
MOEX,D,20170603,000000,101.9
MOEX,D,20170606,000000,103.14
MOEX,D,20170607,000000,101.95
MOEX,D,20170608,000000,103.89
MOEX,D,20170609,000000,104
MOEX,D,20170610,000000,106.15
MOEX,D,20170614,000000,107.09
MOEX,D,20170615,000000,107.5
MOEX,D,20170616,000000,102.73
MOEX,D,20170617,000000,103.12
MOEX,D,20170620,000000,106.9
MOEX,D,20170621,000000,105.05
MOEX,D,20170622,000000,103.97
MOEX,D,20170623,000000,105.57
MOEX,D,20170624,000000,106.8
MOEX,D,20170627,000000,106.9
MOEX,D,20170628,000000,106.52
MOEX,D,20170629,000000,108.6
MOEX,D,20170630,000000,106.51
MOEX,D,20170701,000000,104.33
MOEX,D,20170704,000000,105.75
MOEX,D,20170705,000000,106
MOEX,D,20170706,000000,107.6
MOEX,D,20170707,000000,109
MOEX,D,20170708,000000,108.9
MOEX,D,20170711,000000,111.64
MOEX,D,20170712,000000,111.27
MOEX,D,20170713,000000,114.65
MOEX,D,20170714,000000,114.13
MOEX,D,20170715,000000,111.38
MOEX,D,20170718,000000,112
MOEX,D,20170719,000000,111
MOEX,D,20170720,000000,113.87
MOEX,D,20170721,000000,112.2
MOEX,D,20170722,000000,109.9
MOEX,D,20170725,000000,110
MOEX,D,20170726,000000,109.93
MOEX,D,20170727,000000,109.89
MOEX,D,20170728,000000,109.71
MOEX,D,20170729,000000,108.9
MOEX,D,20170801,000000,107.05
MOEX,D,20170802,000000,109.2
MOEX,D,20170803,000000,110.73
MOEX,D,20170804,000000,109.42
MOEX,D,20170805,000000,109.21
MOEX,D,20170808,000000,110.75
MOEX,D,20170809,000000,114.95
MOEX,D,20170810,000000,115
MOEX,D,20170811,000000,112.51
MOEX,D,20170812,000000,111.92
MOEX,D,20170815,000000,114.25
MOEX,D,20170816,000000,114.56
MOEX,D,20170817,000000,114
MOEX,D,20170818,000000,111.7
MOEX,D,20170819,000000,109.4
MOEX,D,20170822,000000,108.09
MOEX,D,20170823,000000,107.2
MOEX,D,20170824,000000,107.65
MOEX,D,20170825,000000,108.25
MOEX,D,20170826,000000,107.27
MOEX,D,20170829,000000,106.21
MOEX,D,20170830,000000,104.84
MOEX,D,20170831,000000,105.2
MOEX,D,20170901,000000,105.39
MOEX,D,20170902,000000,105.25
MOEX,D,20170905,000000,107.4
MOEX,D,20170906,000000,111.22
MOEX,D,20170907,000000,112.51
MOEX,D,20170908,000000,113.4
MOEX,D,20170909,000000,111.69
MOEX,D,20170912,000000,112.4
MOEX,D,20170913,000000,112.22
MOEX,D,20170914,000000,112.65
MOEX,D,20170915,000000,112.49
MOEX,D,20170916,000000,113.94
MOEX,D,20170919,000000,115
MOEX,D,20170920,000000,115.3
MOEX,D,20170921,000000,116.49
MOEX,D,20170922,000000,116.3
MOEX,D,20170923,000000,116.03
MOEX,D,20170926,000000,115.26
MOEX,D,20170927,000000,116.8
MOEX,D,20170928,000000,117.1
MOEX,D,20170929,000000,114.94
MOEX,D,20170930,000000,115.5
MOEX,D,20171003,000000,115.67
MOEX,D,20171004,000000,117.22
MOEX,D,20171005,000000,119
MOEX,D,20171006,000000,119.43
