ticker,estimates_1,estimates_2,estimates_3
AFKS,-1.09574014055741,0.868808665474929,0.663185885814312
AFLT,-0.889547309370064,0.89499331114026,0.594045215563938
AGRO,-0.916693358560912,0.892162954169787,0.544267342272227
ALRS,-0.812422786378977,0.90184156931516,0.416193507987906
BSPB,-1.4246182409791,0.839189752384301,0.875711327906652
CBOM,-0.759429378137282,0.921546069177971,0.455309683577295
CHMF,-0.939336337166156,0.889537016869837,0.481072146727466
ENPG,-0.976416688268796,0.878501053661557,0.580876666704115
FEES,-0.637511336521772,0.925126775821607,0.54324878770728
FIVE,-0.584116417111914,0.927702233848841,0.406134915155324
FLOT,-1.09665651535443,0.876493214606602,0.879374982788354
GAZP,-1.14375917205227,0.871986421875024,0.752863970550369
GLTR,-1.08849323832526,0.867415484107719,0.678611463384442
GMKN,-1.15851032727598,0.865022447725494,0.530185100953969
HYDR,-0.987693888435832,0.886299986722708,0.557340875776936
IRAO,-0.9975418599909,0.885915825642107,0.736687003580681
LKOH,-0.8032242485054,0.907740899374865,0.547775049400584
MAGN,-0.650282229227225,0.919499244769346,0.298673003454596
MGNT,-1.14893629796238,0.865259844120189,0.615070258534938
MOEX,-0.841293259831245,0.901573620099804,0.437964647691625
MSNG,-1.23343284106919,0.857929434507223,0.70536449637047
MTLR,-0.909595938666464,0.884026470033123,0.695203764101022
MTLRP,-1.35802055446002,0.834827709520273,0.945330308542305
MTSS,-1.18845129321045,0.870549184271632,0.714647940149796
NLMK,-0.882439037257127,0.893480646641971,0.412720805879261
NVTK,-0.788926591125631,0.906579065913425,0.474830390218396
OZON,-0.569034292525354,0.92533843209841,0.511878483206893
PHOR,-0.708040772510174,0.921932055135178,0.507994359253602
PIKK,-0.678539307062082,0.923406484777334,0.547527116186718
PLZL,-0.872048649264136,0.897371646777018,0.547620032971173
POSI,-1.21952054367797,0.862230511227374,1.09328133949545
ROSN,-1.01997082370954,0.881993624631695,0.62391703631185
RTKM,-0.933934833532831,0.899351066718234,0.580652328230598
RUAL,-0.872545449904174,0.893195016754648,0.525120802291004
SBER,-0.538854634569872,0.936546267596979,0.445574012056973
SBERP,-0.689972778932552,0.919593089259394,0.459107093618125
SELG,-1.02880652299272,0.882242853058778,0.897378206338279
SGZH,-1.69672444447669,0.801023092376843,0.888825722988854
SMLT,-1.08826128943645,0.877635259902783,1.06522172835615
SNGS,-0.971733165038871,0.886201130105818,0.593641712111732
SNGSP,-1.82264666010371,0.798669251160602,0.902206487700867
TATN,-1.1684961264385,0.860056274809195,0.64496441934375
TATNP,-1.15207250380818,0.867266866031858,0.649523730803367
TCSG,-0.760623305959014,0.898779144502739,0.521340216528494
TRNFP,-1.43101454389636,0.835836097065231,0.747286966216254
UPRO,-1.1428724266033,0.872397607806919,0.665920798975899
VKCO,-0.846248858611938,0.895190077246114,0.813875122232075
VTBR,-0.899779127701751,0.896629195598376,0.603349692699695
