ticker,estimates_1,estimates_2,estimates_3
AFKS,-0.746519084852857,0.909336518022183,0.369273790681946
AFLT,-0.65496497590889,0.921415524533959,0.408783637573526
AGRO,-0.577103230950386,0.932215785909443,0.431409672783301
ALRS,-0.346519670460641,0.958151840215745,0.213222629605919
BSPB,-0.687118261349934,0.920484009678513,0.440661427310098
CBOM,-0.173194180588124,0.982202340016906,0.204141786111069
CHMF,-0.239116938607778,0.971264414763294,0.137343784958233
ENPG,-1.11822963465401,0.859987124306811,0.543496581586981
FEES,-0.445248768901148,0.946890273455996,0.370194585572529
FIVE,-0.135659133280351,0.983100577302978,0.153780533536923
FLOT,-0.587286079340038,0.932958988209905,0.563354582599755
GAZP,-0.178029142548517,0.979385368020242,0.171929269813054
GLTR,-0.17891939438078,0.977800248367423,0.174744204565834
GMKN,-0.244455068292909,0.97134403216699,0.172654290984469
HYDR,-0.787382427904068,0.908411608626588,0.401996741057998
IRAO,-0.232929429674575,0.972444929974774,0.211279718065595
LKOH,-0.297519727679413,0.965034424645844,0.223030210866773
MAGN,-0.149692113041789,0.98147763802034,0.125107681031925
MGNT,-0.686947846651692,0.917922423082728,0.327563514900252
MOEX,-0.546858158989233,0.935771248065743,0.318100669992528
MSNG,-1.57982991807422,0.815656174296246,0.692382148486735
MTLR,-0.429700463900428,0.94418032771172,0.341990773057561
MTLRP,-1.20832951596487,0.847670834735405,0.71067322452703
MTSS,-0.251677004943244,0.971840621068707,0.21344892999186
NLMK,-1.55828416052874,0.810692797376083,0.449757152787435
NVTK,-0.159669225868242,0.980895393734716,0.141758350277685
OZON,-0.271267999318259,0.964169457948812,0.268608491689319
PHOR,-0.263983345256928,0.97020229656948,0.213790548854373
PIKK,-0.783864420072638,0.910803925620796,0.557021231799221
PLZL,-0.608009404337563,0.928951651665624,0.507429762172869
POSI,-0.489404494636965,0.939534106043481,0.373170148597467
ROSN,-0.277281813638988,0.967261617384174,0.215737580504071
RTKM,-1.2947103587678,0.860002515623959,0.676292194111273
RUAL,-0.472509150191875,0.941956992682739,0.330304346612606
SBER,-0.219765109937796,0.973933960490179,0.230420566631786
SBERP,-0.366241154389031,0.957537345440016,0.276780173040787
SELG,-0.833130202072903,0.900899301199042,0.620498653163873
SGZH,-1.18006682359926,0.858844214233794,0.508470749245943
SMLT,-0.639936294421516,0.924432330614754,0.624899979942515
SNGS,-0.0952202535193982,0.988696611116286,0.126425102659406
SNGSP,-1.22467938590125,0.861480987412554,0.565509209824866
TATN,-0.220357319554637,0.97312503534979,0.183774759610974
TATNP,-0.937533896907852,0.890631255401311,0.430536645697293
TCSG,-0.298329320018147,0.960552645544318,0.267087695193266
TRNFP,-1.21287687613404,0.860416937192806,0.66333459856648
UPRO,-2.24358702425835,0.750009059929138,1.03308506463351
VKCO,-0.0654625284796188,0.991648637224497,0.117820833357275
VTBR,-1.1067610699446,0.872144942668092,0.519662101272786
