ticker,estimates_1,estimates_2,estimates_3
AFKS,-0.813688972165049,0.901284341054366,0.470586540644079
AFLT,-0.807593037581374,0.903855223169169,0.509211325089132
AGRO,-0.916564671056221,0.892177321945151,0.544191424139627
ALRS,-0.812531341662259,0.901828168351294,0.416201253433134
BSPB,-1.17286078531,0.864562904963092,0.64232588898436
CBOM,-0.759176132099853,0.921571709084938,0.455197496688716
CHMF,-0.93908829490697,0.889565867791132,0.480987078171246
ENPG,-0.965946533272625,0.87978659122112,0.576755320819574
FEES,-0.522026368039218,0.938173497055477,0.446529039222689
FIVE,-0.584070675423929,0.927707897367971,0.406118646369591
FLOT,-0.865733960261369,0.900407770894733,0.665461267224804
GAZP,-0.821295140611778,0.906561514665846,0.531263923011157
GLTR,-1.08849344789973,0.867415516170528,0.678613533792704
GMKN,-1.15850494935774,0.865023062795605,0.530183282998233
HYDR,-0.987533083602785,0.88631819284814,0.557275372591411
IRAO,-0.744291916537618,0.913041451591673,0.52305250354388
LKOH,-0.803218171112583,0.907741561093531,0.547770860957685
MAGN,-0.649961851966428,0.919538700336666,0.298578029769528
MGNT,-1.05666232118875,0.874999654838872,0.516428621096798
MOEX,-0.841383834678893,0.901562903738922,0.437983946076096
MSNG,-1.0959662792259,0.872943448895908,0.612875884335454
MTLR,-0.759487560969867,0.902037496075307,0.570078988637649
MTLRP,-0.930606112114026,0.883894559721737,0.639013838656276
MTSS,-1.0714585771112,0.881387298538912,0.552443538512199
NLMK,-0.881995590846497,0.893533842147358,0.412587232574685
NVTK,-0.788936807325032,0.906577860657032,0.474833762881115
OZON,-0.569031371326514,0.925338805415697,0.511876661373288
PHOR,-0.641115849425602,0.92872817975254,0.43120563216136
PIKK,-0.688935523119904,0.921866531121689,0.519303648560508
PLZL,-0.765491929724219,0.909484603089399,0.475823169211948
POSI,-0.912615206509721,0.8908010551622,0.651123852251293
ROSN,-0.690232461617903,0.919000801584907,0.422350792168006
RTKM,-0.802261846693491,0.912888009892355,0.482570921465232
RUAL,-0.872554581438699,0.893193993778771,0.525128052654366
SBER,-0.545212804602743,0.935332541922676,0.39824328424701
SBERP,-0.656850559233163,0.922966491224664,0.392995163941396
SELG,-0.890082648292627,0.896288290318402,0.736974076880734
SGZH,-1.72372832290434,0.797903282916096,0.896562328989935
SMLT,-0.685223944898996,0.919619876032186,0.66322229085219
SNGS,-0.823969890618712,0.902885291244423,0.497239396089991
SNGSP,-1.88380161981133,0.79199155985108,0.91899318834127
TATN,-0.843886768857485,0.897851811123042,0.474190895232914
TATNP,-0.829690511338996,0.903323308345223,0.471518118534663
TCSG,-0.760632742052554,0.898777934995038,0.521344858530415
TRNFP,-1.25565249185975,0.854454042430156,0.615353484788972
UPRO,-1.06006194573522,0.880815442022331,0.584833502419662
VKCO,-0.515289253069726,0.934055029300995,0.486105332047147
VTBR,-0.82275659083244,0.904342110421196,0.48925181960502
