length,true_params_1,true_params_2,true_params_3,mean_estimates_1,mean_estimates_2,mean_estimates_3,rmse_1,rmse_2,rmse_3
250,-0.4106,0.95,0.4835,-0.673232467182041,0.91695431458039,0.475055328300532,0.538199034459906,0.0664686674235428,0.176280171224892
250,-0.1642,0.98,0.308,-0.461143365879189,0.943418143291295,0.329176018779667,0.507555130997663,0.0619830070856643,0.129358232398129
250,-0.736,0.9,0.363,-0.994747685408751,0.86439636918136,0.365186791723518,0.576706923747698,0.0786091925413004,0.133218949451814
250,-0.1472,0.98,0.166,-0.57876157406289,0.921212844235275,0.216873345087599,0.637666182800395,0.0868116461394651,0.10992534273466
250,-0.706,0.9,0.135,-1.10521461501786,0.843391910004808,0.148050981337756,0.548133545377219,0.0775144624665828,0.0844141379892963
250,-0.353,0.95,0.0964,-1.05115903411952,0.851054507976765,0.139364161958563,0.803239236577638,0.113725636792413,0.0908586072620697
500,-0.4106,0.95,0.4835,-0.52833081917094,0.935350106144319,0.462544640565995,0.305980250818131,0.0371428087245816,0.133131181747382
500,-0.1642,0.98,0.308,-0.28753711047659,0.965034786822879,0.308420151300251,0.238674896408361,0.0287648154866503,0.0962637065254911
500,-0.736,0.9,0.363,-0.913309106015619,0.876018808768363,0.369306822554774,0.437471067586167,0.0590044187218711,0.0994546833858869
500,-0.1472,0.98,0.166,-0.36789412523564,0.950265851602338,0.205374870840567,0.356319302710948,0.0480261622808377,0.0756301061037241
500,-0.706,0.9,0.135,-1.1038706227806,0.843908616114079,0.158194483319269,0.495010350558186,0.0696708906782358,0.068536921791151
500,-0.353,0.95,0.0964,-1.01446617359506,0.856575034853516,0.149608694129252,0.73996020169715,0.104421054845339,0.0808882812977488
