length,true_params_1,true_params_2,true_params_3,mean_estimates_1,mean_estimates_2,mean_estimates_3,rmse_1,rmse_2,rmse_3
1000,-0.4106,0.95,0.4835,-0.46140239332641,0.943373011626033,0.461680973036363,0.205301498591867,0.0249641463376638,0.108354938807787
1000,-0.1642,0.98,0.308,-0.223689028035283,0.972556980275641,0.300996375660796,0.144387114269181,0.017543720579085,0.0797888421518912
1000,-0.736,0.9,0.363,-0.823695867779989,0.887975895497954,0.366515685369491,0.283057011866513,0.0383663527947739,0.0719626012160254
1000,-0.1472,0.98,0.166,-0.269070139243871,0.963445733669883,0.199061963492671,0.191344394743049,0.0258224870339727,0.0560237159500043
1000,-0.706,0.9,0.135,-1.07777297164162,0.847370055405806,0.162729188574141,0.431682282440375,0.0610336269510307,0.0545997934486122
1000,-0.353,0.95,0.0964,-0.948678054582794,0.86564593212942,0.15400225680609,0.652297571816201,0.0923277766193846,0.0720219817650687
2000,-0.4106,0.95,0.4835,-0.433138068106759,0.946978426610838,0.46958174051886,0.143931272940323,0.0174869086406585,0.0842965285482502
2000,-0.1642,0.98,0.308,-0.192990266778297,0.976398900591756,0.303695779192503,0.0908589143211505,0.0109946655440817,0.067023884483067
2000,-0.736,0.9,0.363,-0.796141948547655,0.891805336297894,0.371606456848136,0.208699611127623,0.0281503402229651,0.0539776718367856
2000,-0.1472,0.98,0.166,-0.235172578889683,0.968067244436094,0.200572479521562,0.124271012825435,0.0167494460152055,0.0471051896267904
2000,-0.706,0.9,0.135,-1.07177292226161,0.848263678525654,0.17172968261693,0.409909195927263,0.0579232118958708,0.0506358831658396
2000,-0.353,0.95,0.0964,-0.921212567795788,0.869585206596043,0.16232159000239,0.612144061602434,0.0865893742104349,0.073130063641088
